,RestaurantID,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude,isClosed,insertedAtTimestamp
2959,Maks_EfVcTOe20TnGQy_MQ,The Capital Grille,american,4.0,758,120 W 51st St,10020.0,40.7607390928484,-73.98137808662109,False,03/03/2020 18:04:34
2960,bfTN46ZuFean1ahYVE3s9Q,The Marilyn,american,5.0,10,19 W 31st St,10001.0,40.747222,-73.98699,False,03/03/2020 18:04:34
2961,6q-7JBqybIo_MFmFFtlDXQ,East Harlem Bottling,american,4.0,166,1711 Lexington Ave,10029.0,40.79293791199,-73.9455429167249,False,03/03/2020 18:04:34
2962,HXqpZ5Sq7eeDoxAeZI3nTw,The DL,american,2.5,587,95 Delancey St,10002.0,40.7185899,-73.9893704,False,03/03/2020 18:04:34
2963,4Objcs7HXSGuzpb0SOa-Jw,Blue Hill,american,4.5,1001,75 Washington Pl,10011.0,40.7320640251595,-73.9996931018524,False,03/03/2020 18:04:34
2964,jf3JRaxUYU93x8LFU-8gkA,GupShup,american,4.0,277,115 E18th St,10003.0,40.7368323318866,-73.9877132715179,False,03/03/2020 18:04:34
2965,cCWR47_Qeb611F_J8iz_ig,Sammy's Roumanian Steakhouse,american,4.0,429,157 Chrystie St,10002.0,40.720428999999996,-73.99287199999999,False,03/03/2020 18:04:35
2966,ssGhu4n3emZ9kEPVf371IQ,Cookshop,american,4.0,2091,156 10th Ave,10011.0,40.7454251,-74.0056084,False,03/03/2020 18:04:35
2967,gbtGZtbjaFDgTHs2x6gedQ,ININE Bistro,american,4.0,22,53 Bruckner Blvd,10454.0,40.80669,-73.92673,False,03/03/2020 18:04:35
2968,D2qV8sDdHEFlHbVz7VSHRQ,Black Tap - Soho,american,3.5,1173,529 Broome St,10013.0,40.723807,-74.004351,False,03/03/2020 18:04:35
2969,l9b8NbDyhKhnjLKtUwlPwQ,Olea,american,4.0,860,171 Lafayette Ave,11238.0,40.6877844,-73.9706046,False,03/03/2020 18:04:35
2970,dtBbHZkTEVceZ9iLXEVAXA,Grand Lux Cafe,american,3.5,634,1 Garden State Plz,7652.0,40.915784,-74.076308,False,03/03/2020 18:04:35
2971,i38R1KxL99JoG-Ns7FyyGw,12 Chairs,american,4.0,520,56 MacDougal St,10012.0,40.72759,-74.0024,False,03/03/2020 18:04:35
2973,OiSjFh06dsNonI0cPXMSOw,Bondurants,american,4.0,465,303 E 85th St,10028.0,40.777291999999996,-73.951854,False,03/03/2020 18:04:35
6451,TL-z5M9VAwEmPRPRCK7Tkw,American Bar,american,4.0,1,33 Greenwich Ave,10014.0,40.734899,-74.00034000000001,False,03/03/2020 18:16:14
2998,DodCeSN_hkXCJDoJ0uVxKg,Nix,american,4.0,549,72 University Pl,10003.0,40.73323,-73.99359,False,03/03/2020 18:04:42
6499,Ai9zcAveCf-eRPup4HIXhw,Shorty's,american,4.0,274,62 Pearl St,10004.0,40.7034454,-74.0110779,False,03/03/2020 18:16:22
6473,bEloKDe-QVkwakAwmFKbbA,Frying Pan,american,4.0,1492,207 12th Avenue,10001.0,40.7521174043978,-74.0090024471283,False,03/03/2020 18:16:14
